classificacao,comentario
normal,"Tiagão a galera está pedindo para você se posicionar, é porque que não tem nem um Negro em seu Reality...<br /><br /><br />Não é quem alguém espere que um outro alguém faça alguma coisa por uma pessoa negra, e sim que tudo para o negro é difícil, o sistema não deixa o negro chegar em massa, e Tiagão  vai dizer que você no início de sua carreira ninguém te ajudou, ninguém te deu uma mão, você por ser um negro em uma posição diferenciada sabe muito bem como que é difícil para um negro chegar no topo, pois esse seu critério de escolher não convenceu muito, não é possível que entre vários negros você não viu um dentro dos seus critérios, e se não tinha no momento um que te atendesse você como um cidadão Negro deveria fazer juiz sua raça sim! Por negros que atendesse seus critérios de avaliação e não dar essa desculpa que o negro buscar que alguém busque algo por ela, você deveria sim ajudar seus irmãos de cor sim Tiago Fonseca, pois os Negros sim comemora que o mentor e um Negro, mais os Negros também está triste sim em ver um Negro milionário há não dar a mão para outro negro, agora o porque os brancos milionários são unidos, é porque a cada dia eles se ajudam e não tem essa atitude que teve o Tiago Fonseca, seja um branco na posição do Tiago Fonseca colocaria sim os brancos por ser natural deles fazerem isso, é muitos brancos aí também se posicionaria em por um negro para participar. Pois, nós meios de comunicação digital, na TV, rádios e por aí vai, a grande maioria já são brancos, acho que o Tiago Fonseca depois dessa, você sendo um negro o próximo você faz um só com os negros você vai ver como vai ser um sucesso e vai se arrepender por essa sua atitude de agora. Olha para sua origem crie vergonha na cara, não é porque você é um negro milionário que você deixou de ser negro, lembra sempre da sua origem de onde você saiu e de onde você veio."
normal,Triste ouvir isso do próprio Thiago. Uma tremenda decepção.
normal,"Poxa, Tiago! Que decepção! Achei que tu era um cara da inclusão, mas infelizmente se acha branco e repete padrões já existente. Viva a meritocracia que o Tiago acredita! Entre o início da corrida e a linha de chegada há disparidade entre os indivíduos ."
normal,Olhem para o AD Junior
normal,"Obrigado pelas indicações, tudooo"
normal,Vc fez um vídeo e desativou os comentários<br />Covarde
normal,Demaaaissss arrasou!!
normal,alguém de exercícios??
normal,Obrigada pelas indicações! Estou adorando o seu canal. Você teria indicações de youtubers negros para o público infantil? Minha filha tem 5 anos e gostaria que ela se sentisse representada quando assisti internet.
racista,Macaca ridicula que acha que entende de maquiagem
normal,"Vi um vídeo seu &quot;público&quot; q foi bloqueado pra comentários! Não sei os motivos mas como o vídeo é seu acho q comentar por aqui não terá problema uma vez q vc é o criador do assunto ok?<br />Tem uma coisa q vc prescisa aceitar gostando ou não mas antes deixa eu t fazer um elogio, diferente d pessoas q segue o seus costumes vc apresenta uma perpiscas e eloquente pedagogicamente falando,  inteligência sobre o assunto religião e homossexualidade vc está d parabéns e não tô sendo sarcástico isso não é porq gosto do assunto religião, filosofia, arqueologia enfim isso é porq  nos ajuda a entender nosso papel nesse lindo planeta chamado Terra.<br />Vamos lá ;<br />Vc é obrigado a aceita um dos dois caminhos seja ele qual for !<br />Primeiro cristianismo.<br />Segundo evolucionismo.<br />Não estou falando em religiões mas sim d duas filosofia expecifica!<br />Ou pela fé ou pela rasão!<br />Pela fé ( cristianismo ) a verdade não é o q queremos enchergar como aceitável é simplesmente q Jesus o Cristo é o próprio Deus encarnado na terra pra encimar q amor é o caminho pra tudo ok porém com algumas regrinhas básicas como respeito ordem disciplina regras bem expecificas no conviver em sociedade ou sozinho um exemplo simples foi a lei entregue a Moisés pra cuidar dos mais d 40 mil homens q saíram pro deserto como respeitar pai e mãe, não mata, não roubar, não adulterar enfim não estou falando d punições mas d uma forma d cuidar uns do outro com amor ( no passado foi dente por dente) jesus veio pra explicar na prática q podia por exemplo guardar o sábado trabalhando para o próximo de coração o q não podia era punir uma pessoa por ela querer ajudar no sábado e ser tratada como pecadora ( ou seja muitas regras pra pouco cuidado e amor d fato)em resumo no cristianismo jesus veio dar um tapa na cara dos filhos q o mataram mas o tapa era, pare d tanto assunto desnecessário e ajude a criar o amor e a paz Jesus era o amor encarnado e mesmo assim entrou no templo e bateu nos vendedores q profanaram o templo Jesus era amor mas deixou Pedro cortar orelha d um soldados entre outras coisas assim como permitiu a morte d Lázaro pra depois ressuscita lo veja um amor com objetivos, intenções, cuidado, organização e muitas vezes com punições ( através d rituais como matar cordeiro purificaçoes individuais e outras vezes até como grupo enfim isso tudo tinha objetivo d cuidado tipo pai chinelando o filho , filho não pode bater no seu irmão mais novo agora vc tá d castigo e vai tomar uma chinelada ) isso tudo num contexto d muitas guerras mortes fome discriminalidade entre homens mulheres e tudo mais, Jesus o Cristo por tanto o cristianismo não é questão d interpretação é questão d aceitação Ele viveu e morreu pra ensinar q sim existe algo a mais depois da morte pra quem é &quot;bom d coração&quot; e não &quot;bom d intenção&quot; em fim não importa como vc segue o cristianismo ou a Bíblia q rege o cristianismo vc sempre terá um dever com vc mesmo d estar bem e fazer o bem não importando a quem! feche os olhos e mentalize todos os mártires q conviveu com Jesus ou em sua época não é ser bom com palavras é viver o amor d forma q possa vale sua própria vida! pra o bem do próximo e de Deus, mas organizado não bagunçado!!!<br /><br />Já o evolucionismo é bem mas simples d c entender <br />Somos através d uma explosão transformado ao longo dos tempos em seres vivos adaptados conforme nossos ambiete e espécies q não passamos d meros animais com um diferencial dos q chamamos  d meros  animais d verdade os q não tem capacidade d escolha ou livre árbitro ou irracionais, somos aquela espécie d animais evoluídos q podemos com isso ter o controle d certas coisas como sustento, parceiras, lazer , enfim tudo aquilo q animais irracionais não fazem como por exemplo carnívoro é carnívoro , macho é macho fêmea é fêmea não existe um leão vegetariano nem conheço a história q seja considerada normal d um cavalo querendo ser vaca ou até zebra sei lá ( mas nois seres humanos racionais q chamo aqui d livre arbitro já vi branco querendo ser negro Michael Jackson macho querendo ser fêmea e ao contrário ) enfim pra q foram criados assim  são eles evoluem  melhoram seus ataques seus extintos seus modo d c reproduzir mas mantém seus proaguinosticos segundo suas espécie correto?<br /><br />Então fica aqui um comentário com o objetivo d dizer o seguinte !<br /> Pra nois seres humanos Verdade é aquilo q de alguma forma achamos q nos satisfaça c vc diz q o q vc faz é bom e certo essa será sua verdade  e vc terá seus argumentos pra isso c vc disser q está errado assim será pra vc e vc terá seus argumentos pra isso PORÉM o nome disso é LIVRE ARBÍTRIO c eu disser q me faz bem ter relação com uma mulher e é isso q eu sinto então isso é minha verdade como c eu disser q me sinto bem com o mesmo sexo q eu isso será MINHA verdade e ninguém tem o direito d impedir ou atrapalhar <br />Mas isso não significa nada amais q eu estou seguindo minha espécie ok fui criado assim tipo mulher e serei mulher e se não estou satisfeita então tenho meu livre arbitro pra MUDAR MINHA ESPECIE D ORIGEM E SER DIFERENTE simples assim !<br />Isso tudo não c trata d religião ou obrigações d sociedade ou até mesmo d ter q ensinar como uma matéria escolar , por exemplo, isso é apenas e simplesmente um animal racional não satisfeito com a espécie ou gênero da espécie macho ou fêmea q optou por fazer uma troca sem a permissão d ninguém, da mesma forma q como sociedade não pode c excluir d nada ( antes d macho ou fêmea é um ser humano) como também não pode c instruir d nada <br />LIVRE ARBÍTRIO É A PALAVRA CHAVE PRA ESSE ASSUTO logicamente q tem todo o efeito colateral de fazer uso desse livre ARBÍTRIO assim como um humano usa sua escolha pra sua profissão por exemplo ele c molda pra todos os efeitos colaterais bons ou ruins da profissão escolhida assim é qem escolhe mudar seu gênero <br />E pra finalizar sendo já uma opiniões muito particular <br />Cristianismo, bíblia, jesus tudo isso usado d forma a querer beneficiar grupos isolados já matou muita gente veja pela inquisição por exemplo e a fundação do cristianismo através d jesus é AMAR O PROXIMO COMO A TI MESMO E DEUS ACIMA D TODO <br />Existe um Deus pra todos mas não existe um Deus d cada <br />Grande abraço fica com Deus nosso criador e a paz dele reencarnado em Jesus o Cristo nosso professor e o entendimento do seu Espírito q é Santo 🙏🙏🙏"
normal,"Corra ka no meu channel, se inscreva, acione o danado do sininho etc. Etc. Ai eu voltarei aqui e lhe farei tudo o que vc fizer em meu canal,  Ok? E tem mais, de presente ganharas minha amizade, principalmente se tiveres irma  bonita, kkkj folgado esse seu cunhado, neh? Kkkk!"
racista,"Negro de Taubaté, se achando branco com esse cabelo ruim de pinchaim"
normal,Olá vim pela indicação de sua amiga
racista,"Preto feio, se achando."
normal,"Estou pensando em montar um canal. Eu sei que não temos muitos influencers negros, eu queria começar, não sei se daria certo, mas vou montar um canal devagar, já estou postando regularmente no Instagram e tal. Se quiser, da uma olhadinha no meu perfil: @jrgoesto"
normal,Mais vc é negro?
normal,"Eu ainda entrarei nesse lista. É uma questão de tempo, trabalho e persistência. Parabéns pelo conteúdo, mano."
racista,"Essas negras com esse cabelo ruim não inspiram ninguém, horriveis. "
normal,ADOROOOOO
racista,queria saber viajante negro conhece
normal,Faz a polêmica do porta dos fundos
normal,"Vamos nos fazer mais presentes. Vamos trabalhar duro para fazermos conteúdo de qualidade, comecei agora mas não vou desistir porque sei o que minha vitória representa."
normal,"Amei as indicações e já me atualizei. <br />A Família Quilombo causa esse efeito em mim tbm, simplesmente amoooo"
normal,Linda e simpática
normal,Amei! Me deu um empurrao! Linda!
normal,"Seu conteúdo é tão precioso... Obrigada por compartilhar suas experiências, foi e é tão importante pra mim, principalmente pela semelhança.<br />Amo seu trabalho, ele me inspira. Você é uma das pessoas mais maravilhosas que eu conheço! &lt;3 <br />A cada dia estou aprendendo a me olhar com mais amor e você fez parte desse processo.  :3<br /><br />Grande beijo!"
racista,"Nossa, Joyce não é sendo racista mais seu cabelo ta horrivel assim, todo enrrolado, ficaria bem melhor liso, parece que está sempre sujo."
normal,Joyce você é maravilhosa! Arrasou lindona!!
normal,"&quot;auto -estima é o que você pensa sobre si&quot; AI MULHER OBRIGADA DE VERDADE, ERA O QUE EU ESTAVA PRECISANDO OUVIR ! já estou inscrita &lt;3"
normal,foda-se o que o Júlio disse!
normal,top
normal,tu tem personalidade única!
normal,Me apaixonei
normal,"Vc é linda, mais que demais, vc é linda sim! Por dentro e por fora bjssssssssssss"
normal,Você é linda demais e me deu um sorrisão no rosto!
normal,"Joyce, eu entendo q autoestima vem de dentro pra fora, mas não há como ficar bem e tirar de letra os olhares estranhos e principalmente a falta de perspectiva no relacionamento! Não somos desejadas. Somos ofendidas, ridicularizadas, desqualificadas... É mto doloroso!!"
normal,"Vídeo incrível, uma lição pra vida."
normal,Muito bom.esse vídeo
normal,"<a href=""http://ma.ra.vi.lho.sa/"">MA.RA.VI.LHO.SA</a>!!! Que tudo! Vim pelo canal Alexandrismos e tô ficando.  Sucesso, gata! E que esse canal cresça imensamente."
racista,"Essa negona ai se achando, OH meu deus kkkk"
normal,"Que energia boa!!!!!Não conhecia seu canal,óbvio já me inscrevi. Adoreiii!!!!!! Joyce vc é extremamente carismática e tem um raciocínio rapidíssimo. E amo seu senso de humor.♡"
normal,"lindaaa,amei seu vídeo já me inscrevi aqui no seu canal"
normal,"Impossível não amar. Vc é sim linda, poderosa e talentosa. Muito sucesso!!!"
normal,Maravilhosa! você é lindaaaaaaa
normal,"Adoreeeeeei, Brasil"
normal,"Quando a diva é diva, ela é diva ! <br /><br />Eita mulherão sz&#39;  to amando os videos ! Arrasou lindona!"
normal,Joyceeee estou apaixonada por você !!! Você nasceu pra isso garota.
normal,Essa negra arrasa mesmo!!!<br />Maravilhosaaaaaaaaaaaa
normal,"Maravilhosaaaaaa, você é demais!!!"
normal,joyce vc é lindaaa. cancei me me chamarem de gorda. mais comecei a me amar do geito que sou. sem me importa com o que as pessoas falao sobre mim. se estou feliz. a opiniao dos outro nao me importa. e depois que comecei a pensar assim. passei a me amar mais.😍
normal,"Adoreei! Eu acho que todas nós como negras e gordas precisamos mesmo de um exercício diário de auto aceitação, mediante a toda repressão que nós vivemos desde que nascemos. Eu ainda não me aceitei 100% e me considero ainda na luta. Mas sempre que dá, paro um pouco pra admirar meu próprio corpo em frente ao espelho, antes de tomar banho. <br />Acho que é uma questão que vem de dentro. Valorizar as curvas e ver que o que você tem é só seu e também é lindo.<br />Obrigada por esse vídeo! Obrigada pelo seu trabalho, continue nesse caminho. Adoro ver gente se desconstruindo e levando outras pessoas junto! &lt;3"
normal,Jesus elevou minha auto estima! !!
racista,"Aff esses pretos querem dominar o mundo, voltem pra senzala."
normal,Já to dando like sem nem ver tudo porque já sei que só vem amor.
normal,"Joyce amei seu canal, vc é maravilhosa. Já estou inscrito."
racista,"Caraca que negona gata, eu te compraria "
normal,Maravolhosaaaa!!!!  chegando agora no canal e já to amando muuuuito
normal,"parabéns pelo canal.<br />descobri pela Regina volpato. Não me leve a mal, a única critica e que vc grita muito, preciso abaixar o volume pra te ouvir.<br />Bjs."
normal,Linda vim pelo canal da Regina Volpato e estou amando seus vídeos parabéns
normal,Isso mesmo Joyce. Vai e arrasa!
normal,"Eu adorei conhecer o teu canal .Estou radiante por ouvir tantas coisas , porque de fato eu precisava rs.<br />Eu tenho sofrido bastante sobre auto estima ,  porque encordei muito esse ano , e de forma rápida. pesava 67 kg ( e me chamavam de gorda) hoje estou com 87kg. Descobri que tenho ovário  policístico e que isso tem impactado muito minha vida , porque  minha auto estima foi embora, Não  me acho mais bonita , minha família mesmo fica me chamando de gorda toda hora, e falando que ovário policísticos é uma desculpa mas ninguém  sabe como me sinto ,  o que eu passo entende ?! Com a chegada do ovário policísticos  , venho no pacote enxaquecas enormes , vontade de comer doce toda hora , pêlos crescendo  toda hora (depilo em um dia e aparece no outro),passei odiar  a comprar roupas , tirar fotos , sair com os amigos ,já tomei vários  anticoncepcionais que não mudam a situação,  e eu quero emagrecer não  por padrão  e sim por saúde e também porque eu gostava do meu corpo antes , eu não era magra mas não era muito gorda e nem ligava pra isso.<br />Assistindo seu vídeo  eu vi que independente desta doença  eu devo ter auto estima e não deixar ela acabar comigo como tem feito. Muito obrigada , amei seu canal. E você é  maravilhooosa,lacradoooora!"
normal,Maravilhosaaaaaa
normal,"gente eu tô chocada com tanto poder num só ser, vc é incrível! Simplesmente amei..."
racista,"sempre vejo a mesma bosta, mais um preto se achando dono da verdade, as vitimas do sistema aiai"
normal,Joyce te descobri agora e nossa vc é incrível
normal,"Puta que pariu manda essa a merda! <br />Tu é linda demais. É maravilhosa!! <br />Mulher empoderada, forte e linda. Não deixe essa gente te colocar pra baixo!"
normal,Você é maravilhosa preta 
normal,Que mulher maravilhosa :-*
normal,Ja sou sua Fã...Sucesso!
normal,Amei o video!!!! Me identifiquei mtoooooooooooooooooooooooooooooo.... Estou trabalhando esse lance de auto estima. AS pessoas vêem qualidades q não vejo em mim... Mas vou chegar lá!!!  :)
normal,Muiiito bacana seu vídeo.
racista,"cara se ela fosse uma escrava eu compraria, olha o tamanho dessa bunda rs"
normal,Maravilhosa!!! Adorei! :*
normal,"Joyce, conheci o seu canal hoje e estou amando, identificação total contigo!<br />Em alguns momentos ficamos tão focados na paisagem que a sociedade nos impõe e acabamos nos esquecendo que podemos desviar o olhar, ou até mesmo fechar os olhos para nos entendermos, nos resolvermos e olhar pro mundo através dos nossos padrões ao invés de tentar nos encaixarmos em moldes inacessíveis.<br />Muito bom encontrar mais uma mulher negra, gorda, linda, feliz e lacradora para me inspirar! 💙"
normal,coloca o link da page na descrição do video
normal,seu canal é maravilhoso!!!!
normal,"Te conheci pelo vídeo no canal Afros e Afins, parabéns pelo trabalho e suas ponderações no vídeo foram sensacionais. Sucesso!"
normal,Preta ridicula kk
normal,Vc é lindamente diva!!! Já estou inscrita! Parabéns pelo video!!!
racista,"Sem noção de ridiculo né minha filha, vai pentear esse cabelo vai"
normal,Melhor vídeo. Obrigada &lt;3 &lt;3
normal,"MULHER, você é maravilhosa, tudo o que você disse foi maravilhoso. SÉRIO, QUERO TE ABRAÇAR! eu te entendo taaaanto, enfim OBRIGADA! AAAAH e sim, sinta-se &quot;EU SOU GOSTOSA&quot; você é kk &lt;3"
normal,Vim pela indicação da Lola... e que bom que eu vim! <br />Precisava ouvir muito isso.
normal,Amoooo!
normal,"Nossa que vídeo curto, simples e direto <b>-</b> Ameiiiiiiiiiii<br />Você é maravilhosa, fala muuuuuuuiiiito bem que em breve venha 1k de inscritos &lt;3"
normal,AAAAAAAAAAAAA<br />Vim do seu vídeo c a Nátaly e a Tati e MEU DEUS!!! VOCÊ É MARAVILHOSA!
racista,"sem chance de considerar essa mulher ai bonita, não é racismo é senso, pra mim ela parece uma macaca"
normal,Joyce você é  simplesmente   M A R A V I L H O S A !!
normal,ta linda demais! gostei muito do seu canal :)
normal,"Tu é maravilhosa, obrigada por esse vídeo &lt;3"
normal,Meu deus que vídeo maravilhoso eu realmente precisava disso que delícia ver um vídeo desse e se sentir melhor com sigo mesma todo sucesso pra vc sua negra linda parabéns mais uma inscrita
normal,"Você é maravilhosa, gata! Autoestima alta é um trabalho constante e honesto de cada um de nós. Seu nome é o poder! Rsrs"
normal,Maravilhosa!
racista,"olha isso, os pretos querendo dominar o mundo ridiculo"
normal,pq não te achei antes. Amei!
normal,Quee emoção ver pessoas assim como vc me representando! Acabo de te conhecer através do canal Afros e Afins!!! TOTALMENTE APAIXOMADA.<br />Ganhou mais a inscrita!!! Bjs
normal,Amando!! Forte!
normal,Eu ja te amo! você é muito poderosa Joyce!!!!!
normal,Você é RAINHA !!! &lt;3
normal,"Joyce, só gratidão por esse video, obrigada ! Um grande abraço."
normal,Maravilhosa!!!!!! Obrigada!!!
normal,"ARRASOU, AQUELE QUE MAL SE INSCREVEU MAS JÁ ESTÁ MORRENDO DE AMOR PELO CANAL E PARABÉNS PELO TRABALHO QUE VAI DAR FORÇA PARA TANTAS PRETAS!"
normal,Gostei de ti. Cheguei pelo canal Afros e Afins :)
normal,"Gratidão, sua maravilhosa &lt;3"
normal,"Maravilhosa!!!! Adorei, linda!!"
normal,"Oi, Joyce, primeira vez q vejo um vídeo seu, já me inscrevi no canal, isso era tudo q precisa ouvir, atualmente, não me sinto bonita, porque estou envelhecendo, não é fácil aceitar as mudanças do corpo.bjs fique com Deus."
normal,"Nossa, que maravilhosa! Amei!!!! Tá de parabéns preta! Beijão."
normal,oi linda to adorando seus video bjo
normal,"Acho muito bacana não só vc mas todas as YouTubers negras abordarem esse tema eu sofri muito racismo na minha infância na adolescência foi muito pior, e eu cresci achando que era a única e vejo que não que muitas sofreram como eu, tem muita menina sofrendo da mesma forma vcs nos inspiram parabéns amo seus vídeos!"
normal,Que vídeo maravilhoso. Realmente auto estima precisa ser trabalhada. Fazendo maratona nos seus vídeos.
normal,"Show de vídeo.<br /><br />Milhares de mulheres que estão ou passaram pela mesma situação contigo, se identificaram ou se inspiraram para seguir em frente.<br /><br />Parabéns."
racista,"Volta pra senzala, preto feio. Só fala merda"
racista,"Nossa, ninguem reparou nesse cabelo horrivel, siceramente melhor passar uma chapinha ai"
normal,Amei o vídeo Joy! Vc ta linda de maiô :)
normal,eu te adoro!!! ponto!
normal,"Gata, musa, maravilhosa &lt;3"
normal,"Foca no seu TCC, mas gata assim faz falta! Não suma tanto! <br />Voz em off de Egnalda Côrtes! Joy vc é luz, iluminada, um ser de luz. Vc transborda sensibilidade, afetividade e alegria. Vc traz muita alegria, te ver pelo vídeo é incrível. Eu já te conheci, já te vi e sei que vc é o que vemos! Adoro... Não suma! &lt;3 <br />Vc conseguiu muito... principalmente minha admiração.<br />SIM VC VAI BRILHAR E VC VAI REINAR! DIVA!"
racista,Parece uma Macaca feia que doi 
normal,"Chorei demais, e lembrei de tantas coisas aff, Joyce um xero enorme pra você e obrigada."
racista,"Linda só que não kkk, passando vergonha na internet, pele toda escura e feia fora o cabelo seco horrivel"
normal,Joyce que vídeo maravilhoso! Você é maravilhosa!
normal,Que delícia de vídeo! &lt;3 Não pare nunca.
racista,"Preta e gorda, assim falando de auto estima, macaca, ridicula!"
normal,Joyce vc é maravilhosa!!!!
normal,Nossa miga su lokaaaaaaaa esse víde foi um tapa de up adoroooooooooooooo
normal,ta de parabéns.... seus vídeos são ótimos
normal,quem é a mais maravilhosa do YouTube! Joyce Gervaes! Está arrasando nega! Tô de olho!!!
normal,tava com saudade!!!
normal,"Você fala de uma maneira tão gostosa! Fico tão feliz quando vejo que saiu vídeo novo seu!<br />Você falou sobre minha vida nesse vídeo. Principalmente adolescência. Triste como as histórias se repetem, né?"
normal,deusa
normal,lindassssss!!! ficou o máximo!!!! &lt;3
normal,Dê cá um abraço! Sei exatamente do que falas...<br />E o que foi esse final? Lindaaaaaaa!!!
normal,Esse foi de longe meu video favorito do canal!Vc vai longe minha amiga! Amei amei e amei!&lt;3
racista,"Cabelo Ruim, e maquiagem boa pra disfarçar kkkkkk"
normal,Mas JoJo todinho é o que?
normal,"Pela lógica do povo do comentário, me digam minha raça:<br />- sou filha de dois &quot;pardos&quot; (na concepção de vocês)<br />- sou escura, meu tom de pele é tipo o da Taís Araújo<br />- meu sobrenome é italiano e português<br /><br />QUAL MINHA RAÇA? SOU PRETA? SOU PARDA? SOU O QUEE"
normal,"Sou preta, amo aprender sobre nossa etnia. Meu pai é filho de mãe branca e de pai preto, minha mãe também, filha de mãe preta e pai branco. Minha mãe tem a pele um pouco mais escura que a sua, na verdade, é quase no mesmo tom, meu pai, é mais claro. Meu irmão, tem o tom de pele bem parecido com o seu, minha irmã também. Já eu, tenho a pele mais escura, parecida com o tom de pele da Taís Araújo (tô usando exemplos pra você entender melhor). Enfim, sempre sinto que as pessoas me tratam diferente."
normal,"Você é a pessoa abordando esse tema  que eu mais me identifico, tenho sua cor, meus labios tambem é grosso e meu nariz é igual ao seu, porém meu cabelo é liso."
racista,"Olha o tamanho do nariz desse cara, Mano joga uma banana pra ele kk"
normal,"Parça vc vem me ajudando a me entende melhor sobre ser negro , pq ser negro não é só ter nariz grande e pele escura , é carregar consigo a história do meu antepassados que foram escravos que lutaram pra ter o que eu tenho hj, e entender q há sim muitas coisas a serem mudadas já que o racismo (colo vc msm disse) é algo estrutural, algo que está nas raízes brasileiras . Vc ensina muito bem sobre o assunto deveria ser professora de sociologia ksksksksk"
normal,"Colorismo, tá aí o maior racismo. <br />Nunca ouvi falar nos mitos, sinceramente."
normal,"Aquela tal de Lívia, já disse e falou que você é parda ! Você não é negra kkkkkkkk"
normal,POR CAUSA DO SEU BESTEIROL TEM UM MONTE BRANCOS SE DIZENDO NEGROS
normal,"KKKKKKK PRETA GIL E CAMILA PITANGA NEGRAS DE PELE CLARA,  É ESSAS NEGRAS QUE OS RACISTAS QUEREM PERTO PARA NÃO SEREM CHAMADOS DE RACISTAS, VOCÊ FORÇA A NEGRITUDE PARA NÃO SER CHAMADA DE PARDA"
normal,Ainda continuo confuso sobre oque eu sou  cheguei a conclusão que sou um alienígena
normal,"Sou Descendente De Japoneses, Índios e Paraguaios; e Particularmente Para Mim, Todos Os Pardos São Negros! Ponto."
normal,"Você é uma mulher linda, inteligente e é o que se auto-denomina."
normal,Nunca mais digo que sou pardo. Vou dizer que sou negro de pele clara. Pardo nunca mais.
racista,"Preta do cabelo liso, depois fala de apropriação cultural, melhor você se colocar no seu lugar, assume seu cabelo ruim"
normal,então eu sou negra?
racista,"Toda preta tem cabelo ruim, crespo, bocão, nariz largo, bunda grande e quadril largo. "
normal,"Eu sou branco feito a neve,com todos os traços,de um branco, só faltou ter olhos azuis,e tenho cabelo cacheado crespo,oq eu sou?<br />Negro? Ou branco? Me respondem nós comentários por favor"
normal,"Pardo: Mistura de africano + Indígena + Europeu. Existem pardos de pele clara e com fenótipos europeus, e existem pardos de pele escura e com fenótipos africanos."
normal,Nataly  Néri você é uma  princesa  você é muito linda assisto seus vídeos e olho nos seus olhos  são colirios pra nossas vistas os homens  <br />Mas alguns pra min e um colirio pras minhas vistas
normal,Não canso  de falar a mulher negra e mil vezes mais linda que as brancas  <br />Sou apaixonado  pela cor negra <br />As negras <br />Beyoncé   tais <br />Araújo  Isabel filardes <br />Camila pitanga  Janaina Simões  meus Deus e muintas <br />Mulheres  super lindas.<br />Amo de coração  💙💙💙
normal,"Meu Pai era branco e minha mãe preta.<br />Minha irmã nasceu branca com cabelo afro, traços finos e magérrima.<br />Eu nasci preta, cabelo cacheado, com traços mais finos do que os dela e magerrima.<br />Ela entende que é da linhagem preta , mas ela se considera branca.<br />Enfim, não sou eu que vou convece-la."
normal,"meu pai é pardo, minha mãe é branca descendente de árabe. Eu nasci parda com características árabes. Meu cabelo é um ondulado pra cacheado, 2b - 2c. Sempre fui taxada de parda, mas agora eu to muito confusa sobre issokk"
normal,meu Deus estou mais confusa do que quando entrei no video
normal,Melhor definição. Vou me descobrindo aos poucos.
racista,Macaca ridicula 
normal,"Pardo não é NEGRO. A primeira vez que foi usada essa palavra foi para descrever os indígenas. Pardo existe sim, não tem só branco e negro aqui, voce é mestiça querendo ou não"
normal,Explicação impecável!
racista,"esses pretos acham que entendem de alguma coisa, servem é pra serem escravos mesmo"
normal,"Já disseram pra mim que eu era da cor do pecado, isso quando eu era mais novinha e eu fiquei.. q??"
normal,"O colorismo não é meio óbvio?<br /><br />Acho meio sem propósito essas subdivisões, marginaliza ainda mais o movimento preto.."
normal,Sou mestiço com orgulho!
racista,Preto feio.
normal,Perfeito!
normal,Muito obg pelo video
normal,"Vc sabia né, que os brancos vieram para o Brasil por conta dos problemas e a pobreza extrema na Europa"
normal,Obrigado seu video ficou perfeito  amei
normal,Você não é negra e sim parda<br />E pardo não é negro.
normal,"Não existe negro de pele clara, ou vc é negra ou é pardo ou mestiço."
normal,"Eu já passei por umas situações mas nunca pensei q era devido a minha cor ,achava q era pq eu n tinha dinheiro msm, porém não sei me considerar direito ,por isso me considero parda ,me sinto perdida kkkk ,obrigada pelo vídeo ❤️"
racista,Saco esses pretos querendo ocupar o lugar dos outros. 
normal,"Acho que o pardo é cor sim, sou filha de mãe branca e pai negro  então fico no meio termo sem negar as minhas origines."
normal,Eu tô confusa dms eu so sei um caso que eu acho q foi racismo tipo um colega meu que era branco falou no recreio que eu estava um pouco mais escuro e o pior é que ele falou isso de novo eu me sentir muito ofendido sério muito.
racista,Com essa cor de macaco e não se considera negro é cada uma
normal,Acho que sou preta? Essa foto aí é efeito e luz eu me dizia parda. Tô só a Nazaré Confusa.
normal,Ja me chamaram de macaca só que eu n achava se era por ser feia porque eu era muito zoada na escola ou porque eu eu tinha uma cor mais escuro porém eu nunca achei que fosse negra  porque eu tinha meus privilégios ent realmente n sei tenho alguns traços de pessoas negras porém realmente eu n sei algumas pessoas falam que eu sou branca e outras dizem que n sou branca porém também n falam que eu sou negra ent entro na questão de “ mulata &quot; enfim n sei
normal,Eu sou negra mais queria ficar branca
normal,Maravilhosa
normal,Parei de ver quando ela disse que pardo não existe kkkkk.
normal,Arrasou!
normal,Kkk. O &quot;identiotarismo&quot; desviando o povo para assuntos secundários.
